2018-04-06 15:47:51,"b'Why u changed 3% for while transferred my @Paytm wallet to bank account.Iam already completed KYC .As per ur rules,\xe2\x80\xa6 https://t.co/lBY1p7oPYq'"

2018-04-06 15:47:49,b'@Paytm @Paytmcare You guys are expert in making the customer look fool. Wating for your executive since 1 week for\xe2\x80\xa6 https://t.co/YdEjIHahCv'

2018-04-06 15:47:43,b'@Paytmcare @PaytmMall @Paytm\n#Paytm \n01133996699\n01133776677\n0120 388 8388\n\nLet us know from which number we can re\xe2\x80\xa6 https://t.co/lIEcLEKPMu'

2018-04-06 15:44:21,b'@SPSrivastav1986 @vijayshekhar @Paytm @PaytmBank @renusatti @vijayshekhar sir im still waiting 4r my refund 4rm\xe2\x80\xa6 https://t.co/8QdfDculjP'

2018-04-06 15:42:29,"b""@Paytm trying to reach on customer services from 1 hour, got 4 different numbers but can't reach any representative\xe2\x80\xa6 https://t.co/ytHMyygb5C"""

2018-04-06 15:41:09,b'@Paytm  please fix the issue https://t.co/m7bXHaLQhE'

2018-04-06 15:40:15,b'@Rahul_Dogra @Paytm @Paytmcare Na bhai its not working..they have loosed investment'

2018-04-06 15:39:37,b'RT @chopraanjum: A nail biter in the end #INDvENG @Paytm womens ODI #Nagpur. Last wicket partnership of 19(15) between Ekta Bisht and Poona\xe2\x80\xa6'

2018-04-06 15:38:09,b'RT @darshanpatel_98: @Paytm aap log daily mere number 9274031231 pe call kar rahe ho paytm kyc ke liye. Mene kitni bar bola hai ki mere ko\xe2\x80\xa6'

2018-04-06 15:38:07,b'RT @darshanpatel_98: @paytm 9274031231 is number pe to call hi mat krna uske liye 7574841140 ke call karna koi jankari ke liye. Please i re\xe2\x80\xa6'

2018-04-06 15:37:27,b'@paytm 9274031231 is number pe to call hi mat krna uske liye 7574841140 ke call karna koi jankari ke liye. Please i\xe2\x80\xa6 https://t.co/GklEPhVtmQ'

2018-04-06 15:37:26,b'#paytm not responding. Dont know why??? Seems as if after #DefenceMinistry website they arr trying to hack #Paytm too\xf0\x9f\x98\x82\xf0\x9f\x98\x82 @Paytm @Paytmcare'

2018-04-06 15:37:11,b'You fucking dolts @Paytm @Paytmcare your servers are shit and app even more shit..unable to use my own money in my\xe2\x80\xa6 https://t.co/RCVlGBMTZJ'

2018-04-06 15:33:30,b'@Paytm aap log daily mere number 9274031231 pe call kar rahe ho paytm kyc ke liye. Mene kitni bar bola hai ki mere\xe2\x80\xa6 https://t.co/JaR2wEws4a'

2018-04-06 15:32:59,"b'@Cashify_ informed CC abt missing referral benefit, however no resolution provided. Opposite party got xtra benefit\xe2\x80\xa6 https://t.co/BHOjOjPCG5'"

2018-04-06 15:29:45,b'@Paytm @Paytmcare  Order no : 4882061756. Already mailed and called many times. Still at same place. No solution pr\xe2\x80\xa6 https://t.co/gdr9XG4dzd'

2018-04-06 15:27:11,"b""RT @BCCI: Follow LIVE action from the 1st @paytm Women's #ODI between India and England on https://t.co/CPALMGgLOj. https://t.co/AqIG1JRKRz"""

2018-04-06 15:25:19,"b'@Paytm  any update on my order no. :4882061756. Or, you do not want to do it. No, perfect reply from you.'"

2018-04-06 15:17:40,"b""I'm not received otp @Paytmcare @Paytm https://t.co/cO0Mb8GyNe"""

2018-04-06 15:11:27,"b""RT @BCCIWomen: WATCH highlights of India's thrilling one-wicket win over England in the 1st @paytm #ODI in Nagpur here - https://t.co/8XAzx\xe2\x80\xa6"""

2018-04-06 15:10:37,"b'RT @meljones_33: Close games are a combination of skill, tactics and most of all in this nail biter btw @BCCIWomen &amp; @ECB_cricket .. Nerve.\xe2\x80\xa6'"

